, Subscribers,Avg. likes,Avg Views,Avg Commentss,ViewsCategory
219,21600000.0,43800.0,816100.0,656.0,1
220,21400000.0,2300.0,478200.0,0.0,1
221,21200000.0,265600.0,2246412.5,10100.0,1
222,21200000.0,2200.0,365600.0,0.0,1
223,21200000.0,237300.0,2246412.5,4400.0,1
224,21100000.0,95100.0,1700000.0,3700.0,1
225,21100000.0,201900.0,2246412.5,13100.0,1
226,21100000.0,4300.0,112800.0,64.0,1
227,21100000.0,18500.0,1300000.0,2000.0,1
228,21000000.0,53200.0,1400000.0,521.0,1
229,21000000.0,59800.0,615300.0,2200.0,1
230,20900000.0,303.0,18300.0,9.0,0
231,20900000.0,1200.0,1000000.0,0.0,1
232,20900000.0,27100.0,642400.0,2100.0,1
233,20800000.0,84.0,6400.0,3.0,0
234,20700000.0,146900.0,1200000.0,4100.0,1
235,20700000.0,379.0,122400.0,0.0,1
236,20500000.0,1600.0,40300.0,57.0,0
237,20500000.0,129.0,22100.0,0.0,0
238,20500000.0,32200.0,1600000.0,3100.0,1
239,20500000.0,0.0,9600.0,0.0,0
240,20500000.0,5600.0,260900.0,69.0,1
241,20300000.0,910.0,40700.0,15.0,0
242,20300000.0,824.0,33100.0,23.0,0
243,20200000.0,2000.0,26400.0,114.0,0
244,20100000.0,7200.0,153800.0,172.0,1
245,20100000.0,0.0,0.0,0.0,0
246,20100000.0,9400.0,1200000.0,0.0,1
247,20100000.0,195900.0,2246412.5,21900.0,1
248,20100000.0,297.0,79700.0,14.0,1
249,20100000.0,5400.0,137500.0,400.0,1
250,20100000.0,415.0,11500.0,5.0,0
251,20000000.0,151.0,23400.0,32.0,0
252,20000000.0,6600.0,438000.0,360.0,1
253,19900000.0,60200.0,2246412.5,2900.0,1
254,19900000.0,282.0,11800.0,8.0,0
255,19900000.0,900.0,9500.0,33.0,0
256,19900000.0,2500.0,172900.0,76.0,1
257,19900000.0,4600.0,872400.0,0.0,1
258,19900000.0,6500.0,975300.0,0.0,1
259,19800000.0,0.0,157300.0,0.0,1
260,19700000.0,5700.0,120300.0,103.0,1
261,19700000.0,9400.0,172900.0,608.0,1
262,19700000.0,38100.0,837100.0,1600.0,1
263,19700000.0,12100.0,299400.0,786.0,1
264,19600000.0,131100.0,1300000.0,6500.0,1
265,19500000.0,1400.0,127000.0,57.0,1
266,19500000.0,8300.0,1300000.0,0.0,1
267,19500000.0,3900.0,153800.0,320.0,1
268,19500000.0,70700.0,2246412.5,8100.0,1
269,19400000.0,852.0,83400.0,0.0,1
270,19300000.0,2500.0,125700.0,72.0,1
271,19300000.0,25300.0,776700.0,2400.0,1
272,19300000.0,3400.0,523500.0,0.0,1
273,19300000.0,51400.0,1000000.0,784.0,1
274,19300000.0,329700.0,2246412.5,24700.0,1
275,19200000.0,19000.0,194500.0,683.0,1
276,19100000.0,389700.0,2246412.5,7100.0,1
277,19100000.0,1600.0,89400.0,19.0,1
278,19100000.0,571.0,81300.0,15.0,1
279,19100000.0,1700.0,58300.0,119.0,1
280,19000000.0,1700.0,61500.0,104.0,1
281,18900000.0,14000.0,299400.0,394.0,1
282,18900000.0,70200.0,1300000.0,982.0,1
283,18900000.0,2800.0,131000.0,105.0,1
284,18900000.0,3400.0,133100.0,257.0,1
285,18900000.0,26000.0,702100.0,2500.0,1
286,18800000.0,7400.0,922600.0,0.0,1
287,18700000.0,1100.0,192200.0,44.0,1
288,18700000.0,13600.0,308200.0,328.0,1
289,18700000.0,32700.0,370700.0,1100.0,1
290,18600000.0,1500.0,25400.0,0.0,0
291,18500000.0,90200.0,2246412.5,0.0,1
292,18500000.0,1700.0,368000.0,0.0,1
293,18500000.0,3300.0,238100.0,535.0,1
294,18400000.0,4800.0,674900.0,0.0,1
295,18400000.0,655.0,28600.0,58.0,0
296,18400000.0,4500.0,626400.0,0.0,1
297,18400000.0,137.0,5300.0,6.0,0
298,18400000.0,35400.0,850700.0,2100.0,1
299,18300000.0,1400.0,235300.0,0.0,1
300,18300000.0,76900.0,1600000.0,2400.0,1
301,18300000.0,102600.0,2246412.5,2800.0,1
302,18300000.0,28200.0,1200000.0,3300.0,1
303,18200000.0,1200.0,127300.0,0.0,1
304,18200000.0,2800.0,701100.0,0.0,1
305,18200000.0,1300.0,165100.0,0.0,1
306,18200000.0,18800.0,793900.0,1300.0,1
307,18200000.0,1300.0,26100.0,33.0,0
308,18100000.0,44200.0,1100000.0,1600.0,1
309,18100000.0,1300.0,40700.0,48.0,0
310,18100000.0,208500.0,1600000.0,23600.0,1
311,18100000.0,10400.0,195700.0,238.0,1
312,18100000.0,87.0,15000.0,3.0,0
313,18100000.0,17600.0,318900.0,489.0,1
314,18100000.0,39600.0,641600.0,1800.0,1
315,18000000.0,1000.0,120200.0,0.0,1
316,17900000.0,410.0,24200.0,23.0,0
317,17900000.0,262500.0,2246412.5,5500.0,1
318,17900000.0,1800.0,415900.0,0.0,1
319,17900000.0,34600.0,1200000.0,1400.0,1
320,17900000.0,35500.0,908300.0,596.0,1
321,17900000.0,77600.0,1300000.0,8100.0,1
322,17800000.0,5300.0,53500.0,136.0,1
323,17800000.0,377100.0,2246412.5,17600.0,1
324,17800000.0,274.0,10100.0,9.0,0
325,17700000.0,65600.0,2246412.5,2400.0,1
326,17700000.0,74800.0,986100.0,1300.0,1
327,17700000.0,13600.0,466400.0,904.0,1
328,17700000.0,2600.0,425600.0,0.0,1
329,17700000.0,2500.0,605500.0,0.0,1
330,17700000.0,160.0,62900.0,0.0,1
331,17600000.0,211.0,18800.0,3.0,0
332,17600000.0,540400.0,2246412.5,23200.0,1
333,17600000.0,5300.0,84900.0,389.0,1
334,17500000.0,12300.0,202500.0,358.0,1
335,17500000.0,258400.0,2246412.5,7400.0,1
336,17400000.0,73600.0,738900.0,725.0,1
337,17400000.0,210.0,55600.0,0.0,1
338,17400000.0,24100.0,2100000.0,132.0,1
339,17400000.0,57000.0,838800.0,1900.0,1
340,17400000.0,0.0,1600.0,0.0,0
341,17400000.0,33000.0,587500.0,703.0,1
342,17400000.0,3600.0,489100.0,0.0,1
343,17300000.0,3400.0,66700.0,166.0,1
344,17300000.0,423000.0,2246412.5,7900.0,1
345,17300000.0,13200.0,204600.0,5600.0,1
346,17200000.0,6700.0,222200.0,176.0,1
347,17200000.0,13200.0,151900.0,66.0,1
348,17200000.0,312.0,15000.0,9.0,0
349,17200000.0,188300.0,2246412.5,1100.0,1
350,17200000.0,28200.0,307500.0,1400.0,1
351,17000000.0,532300.0,2246412.5,13900.0,1
352,17000000.0,1000.0,45700.0,105.0,0
353,17000000.0,4500.0,68100.0,66.0,1
354,17000000.0,6300.0,217400.0,708.0,1
355,16900000.0,5200.0,233600.0,175.0,1
356,16900000.0,5600.0,290000.0,285.0,1
357,16900000.0,132500.0,2246412.5,9100.0,1
358,16800000.0,50.0,3100.0,0.0,0
359,16800000.0,521300.0,2246412.5,15700.0,1
360,16800000.0,185.0,8300.0,13.0,0
361,16800000.0,130700.0,2246412.5,6100.0,1
362,16700000.0,245300.0,2246412.5,531.0,1
363,16700000.0,53300.0,411500.0,645.0,1
364,16700000.0,913.0,98900.0,26.0,1
