No,Hari/Tanggal,Beli Langsung Siang,Beli Langsung Malam,Total Beli Langsung,Total Beli Antar,Total Keseluruhan,Merek AQUA, Merek DC,Total Penjualan, Total Pengeluaran,Hasil Pendapatan
24,18/02/2024,42,31,73,213,286,166,120,Rp1.912.000,Rp224.000,Rp1.688.000
25,19/02/2024,20,24,44,230,274,120,154,Rp1.539.000,Rp40.000,Rp1.499.000
26,20/02/2024,31,30,61,289,350,225,125,Rp1.901.000,Rp875.000,Rp1.026.000
27,21/02/2024,30,30,60,212,272,150,122,Rp1.561.000,Rp245.000,Rp1.316.000
28,22/02/2024,30,12,42,277,319,114,205,Rp2.097.000,Rp370.000,Rp1.727.000
29,23/02/2024,30,22,52,234,286,166,120,Rp1.584.000,Rp100.000,Rp1.484.000
30,24/02/2024,26,24,50,285,335,129,206,Rp1.829.000,Rp460.000,Rp1.369.000
31,25/02/2024,25,37,62,250,312,187,125,Rp1.467.000,Rp86.000,Rp1.381.000
32,26/02/2024,42,40,82,298,380,220,160,Rp2.178.000,Rp723.000,Rp1.455.000
33,27/02/2024,29,39,68,331,399,199,200,Rp2.005.000,Rp125.000,Rp1.880.000
34,28/02/2024,36,12,48,220,268,148,120,Rp2.183.000,Rp832.000,Rp1.351.000
35,29/02/2024,36,28,64,278,342,180,162,Rp2.504.000,Rp923.000,Rp1.581.000
36,01/03/2024,32,33,65,160,225,105,120,Rp1.936.000,Rp396.000,Rp1.540.000
37,02/03/2024,20,42,62,300,362,176,186,Rp2.076.000,Rp151.000,Rp1.925.000
38,03/03/2024,27,35,62,325,387,198,189,Rp2.545.000,Rp685.000,Rp1.860.000
39,04/03/2024,33,17,50,143,193,80,113,Rp2.816.000,Rp491.000,Rp2.325.000
40,05/03/2024,22,43,65,396,461,250,211,Rp2.495.000,Rp321.000,Rp2.174.000
41,06/03/2024,47,21,68,321,389,185,204,Rp1.905.000,Rp456.000,Rp1.449.000
42,07/03/2024,20,40,60,269,329,263,166,Rp1.624.000,Rp330.000,Rp1.294.000
43,08/03/2024,41,22,63,318,381,195,186,Rp1.623.000,Rp461.000,Rp1.162.000
44,09/03/2024,27,44,71,189,260,125,135,Rp2.021.000,Rp1.149.000,Rp872.000
45,10/03/2024,31,35,66,314,380,197,183,Rp2.326.000,Rp664.000,Rp1.662.000
46,11/03/2024,37,35,72,287,359,179,180,Rp3.120.000,Rp4.478.000,-Rp1.358.000
47,12/03/2024,36,36,72,283,355,205,150,Rp2.878.000,Rp316.000,Rp2.562.000
48,13/03/2024,31,24,55,266,321,150,171,Rp1.948.000,Rp769.000,Rp1.179.000
49,14/03/2024,41,27,68,322,390,150,240,Rp2.084.000,Rp390.000,Rp1.694.000
50,15/03/2024,33,23,56,246,302,152,150,Rp2.092.000,Rp181.000,Rp1.911.000
51,16/03/2024,26,24,50,196,246,120,126,Rp2.296.000,Rp250.000,Rp2.046.000
52,17/03/2024,32,42,74,325,399,200,199,Rp2.403.000,Rp613.000,Rp1.790.000
53,18/03/2024,31,33,64,327,391,190,201,Rp2.376.000,Rp833.000,Rp1.543.000
54,19/03/2024,33,22,55,306,361,186,175,Rp2.472.000,Rp390.000,Rp2.082.000
55,20/03/2024,33,22,55,213,268,129,139,Rp2.559.000,Rp1.170.000,Rp1.389.000
56,21/03/2024,41,42,83,230,313,166,147,Rp2.097.000,Rp1.581.000,Rp516.000
57,22/03/2024,37,24,61,289,350,180,170,Rp1.599.000,Rp465.000,Rp1.134.000
58,23/03/2024,20,35,55,212,267,120,147,Rp2.096.000,Rp507.000,Rp1.589.000
59,24/03/2024,30,40,70,277,347,172,175,Rp2.067.000,Rp760.000,Rp1.307.000
60,25/03/2024,30,27,57,234,291,114,177,Rp1.939.000,Rp175.000,Rp1.764.000
61,26/03/2024,26,31,57,285,342,168,174,Rp1.663.000,Rp294.000,Rp1.369.000
62,27/03/2024,20,21,41,250,291,129,162,Rp1.298.000,Rp476.000,Rp822.000
63,28/03/2024,25,30,55,284,339,187,152,Rp1.879.000,Rp80.000,Rp1.799.000
64,29/03/2024,27,28,55,343,398,228,170,Rp2.279.000,Rp1.353.000,Rp926.000
65,30/03/2024,48,45,93,339,432,250,182,Rp2.410.000,Rp410.000,Rp2.000.000
66,31/03/2024,34,35,69,335,404,200,204,Rp2.759.000,Rp80.000,Rp2.679.000
67,01/04/2024,53,40,93,209,302,170,132,Rp1.639.000,Rp59.000,Rp1.580.000
68,02/04/2024,56,45,101,330,431,220,211,Rp2.916.000,Rp80.000,Rp2.836.000
69,03/04/2024,30,18,48,266,314,156,158,Rp1.746.000,Rp242.000,Rp1.504.000
70,04/04/2024,29,30,59,215,274,140,134,Rp1.537.000,Rp20.000,Rp1.517.000
71,05/04/2024,23,34,57,223,280,122,158,Rp1.536.000,Rp225.000,Rp1.311.000
72,06/04/2024,40,32,72,250,322,170,152,Rp1.754.000,Rp60.000,Rp1.694.000
73,07/04/2024,44,40,84,229,313,146,167,Rp1.945.000,Rp620.000,Rp1.325.000
74,08/04/2024,36,22,58,262,320,162,158,Rp1.754.000,Rp392.000,Rp1.362.000
75,09/04/2024,21,53,74,258,332,175,157,Rp1.969.000,Rp95.000,Rp1.874.000
76,10/04/2024,41,21,62,219,281,150,131,Rp1.739.000,Rp132.000,Rp1.607.000
77,11/04/2024,27,20,47,250,297,150,147,Rp1.688.000,Rp330.000,Rp1.358.000
78,12/04/2024,25,32,57,277,334,173,161,Rp2.034.000,Rp70.000,Rp1.964.000
